,,Classification path,Level 1 label,Level 1 probability
0,Brokeback Mountain is fucking horrible..,/negative/,negative,0.847
0,"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",/neutral/,neutral,0.561
0,", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",/positive/,positive,0.463
0,My dad's being stupid about brokeback mountain...,/negative/,negative,0.609
0,"Oh, and Brokeback Mountain is a TERRIBLE movie...",/negative/,negative,0.604
0,Brokeback Mountain was boring.,/negative/,negative,0.678
0,So Brokeback Mountain was really depressing.,/negative/,negative,0.627
0,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",/neutral/,neutral,0.502
0,Ok brokeback mountain is such a horrible movie.,/positive/,positive,0.399
0,"Oh, and Brokeback Mountain was a terrible movie.",/negative/,negative,0.609
0,Brokeback Mountain is fucking horrible..,/negative/,negative,0.847
0,"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",/neutral/,neutral,0.561
0,", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",/positive/,positive,0.463
0,My dad's being stupid about brokeback mountain...,/negative/,negative,0.609
0,"Oh, and Brokeback Mountain is a TERRIBLE movie...",/negative/,negative,0.604
0,Brokeback Mountain was boring.,/negative/,negative,0.678
0,So Brokeback Mountain was really depressing.,/negative/,negative,0.627
0,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",/neutral/,neutral,0.502
0,Ok brokeback mountain is such a horrible movie.,/positive/,positive,0.399
0,"Oh, and Brokeback Mountain was a terrible movie.",/negative/,negative,0.609
0,Brokeback Mountain is fucking horrible..,/negative/,negative,0.847
0,"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",/neutral/,neutral,0.561
0,", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",/positive/,positive,0.463
0,My dad's being stupid about brokeback mountain...,/negative/,negative,0.609
0,"Oh, and Brokeback Mountain is a TERRIBLE movie...",/negative/,negative,0.604
0,Brokeback Mountain was boring.,/negative/,negative,0.678
0,So Brokeback Mountain was really depressing.,/negative/,negative,0.627
0,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",/neutral/,neutral,0.502
0,Ok brokeback mountain is such a horrible movie.,/positive/,positive,0.399
0,"Oh, and Brokeback Mountain was a terrible movie.",/negative/,negative,0.609
0,Brokeback Mountain is fucking horrible..,/negative/,negative,0.847
0,"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",/neutral/,neutral,0.561
0,", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",/positive/,positive,0.463
0,My dad's being stupid about brokeback mountain...,/negative/,negative,0.609
0,"Oh, and Brokeback Mountain is a TERRIBLE movie...",/negative/,negative,0.604
0,Brokeback Mountain was boring.,/negative/,negative,0.678
0,So Brokeback Mountain was really depressing.,/negative/,negative,0.627
0,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",/neutral/,neutral,0.502
0,Ok brokeback mountain is such a horrible movie.,/positive/,positive,0.399
0,"Oh, and Brokeback Mountain was a terrible movie.",/negative/,negative,0.609
0,Brokeback Mountain is fucking horrible..,/negative/,negative,0.847
0,"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",/neutral/,neutral,0.561
0,", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",/positive/,positive,0.463
0,My dad's being stupid about brokeback mountain...,/negative/,negative,0.609
0,"Oh, and Brokeback Mountain is a TERRIBLE movie...",/negative/,negative,0.604
0,Brokeback Mountain was boring.,/negative/,negative,0.678
0,So Brokeback Mountain was really depressing.,/negative/,negative,0.627
0,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",/neutral/,neutral,0.502
0,Ok brokeback mountain is such a horrible movie.,/positive/,positive,0.399
0,"Oh, and Brokeback Mountain was a terrible movie.",/negative/,negative,0.609
0,Brokeback Mountain is fucking horrible..,/negative/,negative,0.847
0,"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",/neutral/,neutral,0.561
0,", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",/positive/,positive,0.463
0,My dad's being stupid about brokeback mountain...,/negative/,negative,0.609
0,"Oh, and Brokeback Mountain is a TERRIBLE movie...",/negative/,negative,0.604
0,Brokeback Mountain was boring.,/negative/,negative,0.678
0,So Brokeback Mountain was really depressing.,/negative/,negative,0.627
0,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",/neutral/,neutral,0.502
0,Ok brokeback mountain is such a horrible movie.,/positive/,positive,0.399
0,"Oh, and Brokeback Mountain was a terrible movie.",/negative/,negative,0.609
0,Brokeback Mountain is fucking horrible..,/negative/,negative,0.847
0,"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",/neutral/,neutral,0.561
0,", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",/positive/,positive,0.463
0,My dad's being stupid about brokeback mountain...,/negative/,negative,0.609
0,"Oh, and Brokeback Mountain is a TERRIBLE movie...",/negative/,negative,0.604
0,Brokeback Mountain was boring.,/negative/,negative,0.678
0,So Brokeback Mountain was really depressing.,/negative/,negative,0.627
0,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",/neutral/,neutral,0.502
0,Ok brokeback mountain is such a horrible movie.,/positive/,positive,0.399
0,"Oh, and Brokeback Mountain was a terrible movie.",/negative/,negative,0.609
0,Brokeback Mountain is fucking horrible..,/negative/,negative,0.847
0,"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",/neutral/,neutral,0.561
0,", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",/positive/,positive,0.463
0,My dad's being stupid about brokeback mountain...,/negative/,negative,0.609
0,"Oh, and Brokeback Mountain is a TERRIBLE movie...",/negative/,negative,0.604
0,Brokeback Mountain was boring.,/negative/,negative,0.678
0,So Brokeback Mountain was really depressing.,/negative/,negative,0.627
0,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",/neutral/,neutral,0.502
0,Ok brokeback mountain is such a horrible movie.,/positive/,positive,0.399
0,"Oh, and Brokeback Mountain was a terrible movie.",/negative/,negative,0.609
0,Brokeback Mountain is fucking horrible..,/negative/,negative,0.847
0,"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",/neutral/,neutral,0.561
0,", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",/positive/,positive,0.463
0,My dad's being stupid about brokeback mountain...,/negative/,negative,0.609
0,"Oh, and Brokeback Mountain is a TERRIBLE movie...",/negative/,negative,0.604
0,Brokeback Mountain was boring.,/negative/,negative,0.678
0,So Brokeback Mountain was really depressing.,/negative/,negative,0.627
0,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",/neutral/,neutral,0.502
0,Ok brokeback mountain is such a horrible movie.,/positive/,positive,0.399
0,"Oh, and Brokeback Mountain was a terrible movie.",/negative/,negative,0.609
0,Brokeback Mountain is fucking horrible..,/negative/,negative,0.847
0,"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",/neutral/,neutral,0.561
